"Ключевое слово";"Результатов в Google";"Слов";"Символов";"Частотность Весь мир";"""!Частотность !Весь !мир""";"Количество найденных доменов в Google по слову";"Средняя позиция в Google";"Позиция в Google avrora-trans.com";"Позиция в Google autotransgarant.com";"Позиция в Google della.ua"
"рассчитать расстояние между городами на автомобиле";1080000;6;50;23330;16259;1;4;0;0;4
"расстояние между городами на автомобиле рассчитать";460000;6;50;23330;16259;1;1;0;0;1
"расчет расстояний между городами";1240000;4;32;29709;15802;1;1;0;0;1
"москва казань";122000000;2;13;239394;14695;1;22;0;0;22
"улан батор";1410000;2;10;70456;14341;1;30;0;0;30
"сирия на карте";1550000;3;14;91605;13264;1;43;0;0;43
"usd";1980000000;1;3;3830752;13056;1;48;0;0;48
"краснодар сочи";46300000;2;14;133691;12814;1;27;0;0;27
"новоайдар";733000;1;9;67236;12271;1;47;0;0;47
"гуанчжоу";2960000;1;8;59954;9935;1;44;0;0;44
"км";225000000;1;2;6139826;9623;1;21;0;0;21
"воронеж москва";87900000;2;14;138686;8747;1;22;0;0;22
"олх кз";850000;2;6;13396;8671;1;39;0;0;39
"москва воронеж";127000000;2;14;137078;8568;1;22;0;0;22
"тула москва";50100000;2;11;113010;8428;1;14;0;0;14
"краснодар ростов";55600000;2;16;88471;8238;1;23;0;0;23
"москва рязань";60800000;2;13;118200;8069;1;39;0;0;39
"рязань москва";41400000;2;13;118845;8050;1;19;0;0;19
"валуйки";3740000;1;7;335155;7844;1;38;0;0;38
"поташ";319000;1;5;22218;7816;1;46;0;0;46
"навигатор онлайн проложить маршрут";350000;4;34;25495;7490;1;32;0;0;32
"маршрут от и до на машине";10900000;6;25;177329;7331;1;20;0;0;20
"грузоперевозки по россии";7940000;3;24;28998;7080;1;43;0;43;0
"кабул";2800000;1;5;63764;6938;1;49;0;0;49
"грузовое такси";53;2;14;96212;6889;1;48;48;0;0
"москва саратов";71100000;2;14;118963;6613;1;11;0;0;11
"проложить маршрут на автомобиле от точки до точки";791000;8;49;9011;6577;1;24;0;0;24
"саратов москва";64200000;2;14;118807;6549;1;14;0;0;14
"транспортная";27100000;1;12;4116498;6418;1;39;39;0;0
"вали";10500000;1;4;1333023;6394;1;34;0;0;34
"тнв";700000;1;3;120724;6359;1;32;0;0;32
"каракалпакстан";3150000;1;14;20086;6240;1;41;0;0;41
"построить маршрут на машине от и до показать на карте";709000;10;53;8072;6187;1;20;0;0;20
"олх украина";10800000;2;11;18417;6166;1;49;0;0;49
"москва пермь";74600000;2;12;82735;6104;1;26;0;0;26
"озера";50800000;1;5;5596541;6018;1;34;0;0;34
"комарово";1630000;1;8;84684;5984;1;41;0;0;41
"алтай на карте";6160000;3;14;45457;5737;1;41;0;0;41
"токмак";2840000;1;6;63384;5615;1;41;0;0;41
"курс драма";4810000;2;10;139456;5351;1;20;0;0;20
"маршрут от и до на машине проложить";4530000;7;35;24550;5150;1;7;0;0;7
"проложить маршрут на машине от и до";4750000;7;35;24397;5094;1;6;0;0;6
"проложить маршрут от и до на машине";4030000;7;35;24397;5094;1;5;0;0;5
"автотранс";741000;1;9;42037;5002;1;6;0;6;0
"переезд";25600000;1;7;677540;4951;1;38;38;0;0
"программа тнв";109000;2;13;28715;4879;1;45;0;0;45
"проложить маршрут от и до";7490000;5;25;246577;4834;1;25;0;0;25
"поляна";16900000;1;6;2222845;4815;1;45;0;0;45
"расстояние между городами рассчитать";1150000;4;36;30828;4756;1;1;0;0;1
"рассчитать расстояние между городами";1050000;4;36;30828;4756;1;1;0;0;1
"бобрик";5700000;1;6;25940;4646;1;21;0;0;21
"богучар";1740000;1;7;153928;4474;1;38;0;0;38
"португалия на карте";4250000;3;19;14798;4428;1;26;0;0;26
"санкт";332000000;1;5;25345050;4401;1;51;0;0;51
"скоморохи";981000;1;9;105418;4375;1;24;0;0;24
"делла";2000000;1;5;91433;4368;1;1;0;0;1
"делла кз";41;2;8;5793;4244;1;7;0;0;7
"клайпеда";1900000;1;8;22189;4235;1;31;0;0;31
"белгород москва";40300000;2;15;67971;4226;1;28;0;0;28
"растояние или расстояние между городами";9760000;5;39;7888;4163;1;1;0;0;1
"бургас";20700000;1;6;78274;4006;1;50;0;0;50
"москва спб";255000000;2;10;95659;3996;1;19;0;0;19
"олх узбекистан";1130000;2;14;9701;3954;1;37;0;0;37
"майни";143000;1;5;12492;3873;1;22;0;0;22
"кунцево";3570000;1;7;269454;3827;1;25;0;0;25
"расстояние рассчитать";8640000;2;21;73205;3805;1;1;0;0;1
"рассчитать расстояние";8860000;2;21;73205;3805;1;1;0;0;1
"речка";10800000;1;5;718775;3784;1;37;0;0;37
"капуста вход личный кабинет по номеру телефона";134000;7;46;4811;3744;1;42;0;0;42
"молодечно";7810000;1;9;392028;3641;1;19;0;0;19
"гуляйполе";2570000;1;9;18075;3634;1;36;0;0;36
"груз 200 это";8660000;3;12;340755;3609;1;40;40;0;0
"проложить маршрут на автомобиле от и до по карте";4400000;9;48;8916;3596;1;19;0;0;19
"маршрут на автомобиле от и до по карте проложить";5160000;9;48;8913;3545;1;18;0;0;18
"улан";71000000;1;4;3283526;3543;1;15;0;0;15
"славгород";4090000;1;9;260135;3534;1;38;0;0;38
"москва астрахань";31200000;2;16;67709;3501;1;28;0;0;28
"расстояние казань москва";5700000;3;24;11418;3425;1;11;0;0;11
"расстояние москва казань";5970000;3;24;11418;3425;1;11;0;0;11
"москва казань расстояние";6010000;3;24;11423;3409;1;10;0;0;10
"казань москва расстояние";6030000;3;24;11424;3405;1;11;0;0;11
"добрянка";2820000;1;8;156879;3346;1;35;0;0;35
"серго";2050000;1;5;124355;3293;1;35;0;0;35
"воронеж москва расстояние";4680000;3;25;9423;3281;1;5;0;0;5
"москва воронеж расстояние";4690000;3;25;9158;3220;1;6;0;0;6
"перевозчики";5410000;1;11;399501;3207;1;31;0;0;31
"расстояние воронеж москва";4650000;3;25;9093;3195;1;6;0;0;6
"расстояние москва воронеж";4880000;3;25;9093;3195;1;10;0;0;10
"расчет расстояний";2930000;2;17;66340;3176;1;1;0;0;1
"маршруты онлайн";17500000;2;15;560948;3096;1;36;0;0;36
"пака";1760000;1;4;2415877;3060;1;43;0;0;43
"затон";3430000;1;5;166059;3016;1;48;0;0;48
"проложить маршрут на автомобиле";1650000;4;31;27157;2992;1;5;0;0;5
"кустанай";754000;1;8;61330;2988;1;17;0;0;17
"казань уфа";60500000;2;10;47598;2932;1;29;0;0;29
"расстояние между городами на автомобиле";1100000;5;39;113757;2742;1;4;0;0;4
"построить маршрут на карте";5020000;4;26;31025;2696;1;38;0;0;38
"переезд квартирный";1130000;2;18;17194;2596;1;17;17;0;0
"какое расстояние";36500000;2;16;1203251;2589;1;1;0;0;1
"квартирный переезд";1050000;2;18;16948;2561;1;24;24;0;0
"нефтекумск";2840000;1;10;82827;2542;1;17;0;0;17
"гомель курс валют";208000;3;17;71858;2524;1;43;0;0;43
"олх казахстан";4290000;2;13;12006;2523;1;45;0;0;45
"курс валют гомель";198000;3;17;71740;2511;1;34;0;0;34
"луб";845000;1;3;45596;2497;1;32;0;0;32
"карта молдавии";2110000;2;14;35210;2494;1;44;0;0;44
"ростов таганрог";17600000;2;15;85307;2472;1;24;0;0;24
"таганрог ростов";17300000;2;15;85269;2461;1;23;0;0;23
"краснодар анапа";15100000;2;15;38594;2409;1;16;0;0;16
"молога";241000;1;6;16038;2404;1;34;0;0;34
"скирда";194000;1;6;16340;2356;1;42;0;0;42
"расчет расстояния между городами";1270000;4;32;29709;2351;1;1;0;0;1
"ханчжоу";862000;1;7;7722;2280;1;47;0;0;47
"чита карта";15300000;2;10;57817;2257;1;30;0;0;30
"унеча";2700000;1;5;150590;2246;1;29;0;0;29
"кунка";177000;1;5;27514;2245;1;25;0;0;25
"стоянка";40000000;1;7;652454;2239;1;35;0;0;35
"eur";1630000000;1;3;1399722;2229;1;29;0;0;29
"орехово";18500000;1;7;1677333;2161;1;21;0;0;21
"екатеринбург москва расстояние";6230000;3;30;10611;2152;1;8;0;0;8
"километраж";3620000;1;10;85093;2149;1;3;0;0;3
"марсель нант";945000;2;12;9151;2148;1;38;0;0;38
"алжир на карте";1380000;3;14;8489;2128;1;42;0;0;42
"москва екатеринбург расстояние";6470000;3;30;9217;2117;1;5;0;0;5
"негабаритные перевозки";625000;2;22;23737;2110;1;8;8;0;0
"расстояние екатеринбург москва";6570000;3;30;8802;2104;1;8;0;0;8
"расстояние москва екатеринбург";6410000;3;30;8802;2104;1;9;0;0;9
"козино";807000;1;6;42512;2076;1;12;0;0;12
"карта маршрут";49600000;2;13;648872;2064;1;10;0;0;10
"курс валют в гродно";217000;4;19;41941;2061;1;39;0;0;39
"домаха";756000;1;6;17180;2055;1;32;0;0;32
"маршрут карта";53600000;2;13;643426;2046;1;11;0;0;11
"псков санкт петербург";25200000;3;21;35305;2044;1;33;0;0;33
"суджа";1750000;1;5;107084;2043;1;15;0;0;15
"расстояние краснодар москва";5550000;3;27;5939;2037;1;12;0;0;12
"красный кут";2860000;2;11;71404;2034;1;31;0;0;31
"расстояние от москвы до киева";423000;5;29;7178;2032;1;23;0;0;23
"преображенка";578000;1;12;39492;2030;1;23;0;0;23
"груз 200 это что";8360000;4;16;340755;2027;1;40;40;0;0
"груз 200 что это";8070000;4;16;340755;2027;1;45;45;0;0
"солонка";4960000;1;7;41896;1986;1;39;0;0;39
"навигатор онлайн бесплатно проложить маршрут";529000;5;44;7928;1984;1;42;0;0;42
"табаки";935000;1;6;1394467;1981;1;41;0;0;41
"тайки";1820000;1;5;228468;1975;1;17;0;0;17
"специфика";18000000;1;9;274500;1966;1;49;49;0;0
"51 маршрут";23800000;2;10;22693;1963;1;33;0;0;33
"грайворон";1510000;1;9;44944;1962;1;33;0;0;33
"сату";3430000;1;4;189009;1945;1;24;0;0;24
"севастополь москва";29700000;2;18;55471;1940;1;32;0;0;32
"рассчитать маршрут";2980000;2;18;16465;1906;1;1;0;0;1
"что такое груз 200";9010000;4;18;343290;1904;1;47;47;0;0
"москва рязань расстояние";2810000;3;24;6165;1903;1;21;0;0;21
